year,reporter,partner,flowDesc,cmdCode,hs_desc_en,trade_value_usd,net_weight_kg,qty,reporterCode,reporterISO,partnerCode,partnerISO,flowCode
2010,,,,85,,15690872148.714,0.0,0.0,56,,0,,M
2011,,,,85,,17238140060.604,,0.0,56,,0,,M
2012,,,,85,,15041218027.092,0.0,0.0,56,,0,,M
2013,,,,85,,14777492271.221,0.0,0.0,56,,0,,M
2014,,,,85,,15459613038.707,0.0,0.0,56,,0,,M
2015,,,,85,,13462992397.058,0.0,0.0,56,,0,,M
2016,,,,85,,13832783584.573,0.0,0.0,56,,0,,M
2017,,,,85,,15042168984.099,0.0,0.0,56,,0,,M
2018,,,,85,,16090013968.801,0.0,0.0,56,,0,,M
2019,,,,85,,19366580308.062,0.0,0.0,56,,0,,M
2020,,,,85,,19839780304.951,0.0,0.0,56,,0,,M
2021,,,,85,,22250916385.164,0.0,0.0,56,,0,,M
2022,,,,85,,25575919314.902,0.0,0.0,56,,0,,M
2023,,,,85,,29013989696.801,0.0,0.0,56,,0,,M
2024,,,,85,,21716664477.108,0.0,0.0,56,,0,,M
